Date  ,Open,High,Low ,Close
04-Jun-10,1031.00,1036.00,1022.45,1031.20
07-Jun-10,1015.00,1015.00,1000.00,1007.75
08-Jun-10,1009.70,1012.70,995.10,996.40
09-Jun-10,1000.20,1015.00,1000.00,1007.05
10-Jun-10,1010.00,1017.45,1007.15,1015.35
11-Jun-10,1025.00,1050.85,1021.00,1046.40
14-Jun-10,1054.90,1070.00,1049.10,1063.50
15-Jun-10,1065.20,1069.90,1050.10,1066.10
16-Jun-10,1070.00,1072.65,1055.10,1057.95
17-Jun-10,1063.30,1077.00,1058.30,1071.40
18-Jun-10,1080.20,1089.80,1050.55,1054.35
21-Jun-10,1061.00,1071.70,1061.00,1065.65
22-Jun-10,1063.00,1074.80,1056.95,1063.80
23-Jun-10,1059.70,1067.50,1054.00,1058.70
24-Jun-10,1059.00,1065.80,1047.30,1052.05
25-Jun-10,1050.00,1068.00,1043.00,1062.95
28-Jun-10,1074.00,1092.00,1065.15,1090.15
29-Jun-10,1091.00,1091.00,1064.20,1067.45
30-Jun-10,1060.00,1093.95,1057.50,1089.85
01-Jul-10,1084.00,1086.35,1066.50,1076.25
02-Jul-10,1076.00,1083.95,1065.30,1068.95
05-Jul-10,1070.00,1073.15,1062.70,1068.30
06-Jul-10,1065.50,1081.90,1065.50,1073.90
07-Jul-10,1074.00,1074.80,1051.00,1053.55
08-Jul-10,1060.00,1069.55,1055.25,1057.10
09-Jul-10,1063.95,1066.00,1053.55,1057.65
12-Jul-10,1060.00,1067.95,1052.05,1056.25
13-Jul-10,1057.25,1077.75,1057.25,1074.30
14-Jul-10,1080.00,1094.45,1067.25,1070.45
15-Jul-10,1071.95,1080.90,1068.10,1073.45
16-Jul-10,1071.05,1074.00,1060.00,1062.95
19-Jul-10,1058.10,1065.90,1053.80,1056.05
20-Jul-10,1057.00,1065.90,1049.10,1052.95
21-Jul-10,1058.90,1063.00,1055.65,1058.40
22-Jul-10,1058.40,1060.85,1047.60,1059.00
23-Jul-10,1063.95,1070.90,1056.80,1060.45
26-Jul-10,1063.50,1067.40,1050.25,1053.10
27-Jul-10,1058.85,1061.15,1051.10,1053.50
28-Jul-10,1063.00,1073.65,1018.00,1021.25
29-Jul-10,1028.50,1028.50,1008.00,1010.15
30-Jul-10,1014.95,1020.35,1007.25,1009.65
02-Aug-10,1016.00,1021.80,1011.40,1014.55
03-Aug-10,1019.15,1030.90,1014.00,1027.75
04-Aug-10,1028.00,1031.00,1012.55,1016.05
05-Aug-10,1019.95,1023.70,1005.05,1007.05
06-Aug-10,1008.90,1010.10,998.50,1000.10
09-Aug-10,1000.00,1006.00,992.00,993.60
10-Aug-10,991.00,1002.40,986.30,987.90
11-Aug-10,989.80,994.90,980.10,983.25
12-Aug-10,980.00,983.25,970.00,972.60
13-Aug-10,970.50,993.80,970.50,979.10
16-Aug-10,980.00,991.90,975.00,976.90
17-Aug-10,980.00,984.95,970.00,970.65
18-Aug-10,973.00,977.00,958.35,964.60
19-Aug-10,963.70,984.90,963.70,977.20
20-Aug-10,977.20,993.40,972.50,988.65
23-Aug-10,992.05,992.05,975.60,976.90
24-Aug-10,976.90,981.00,967.30,972.40
25-Aug-10,970.00,977.85,965.50,967.80
26-Aug-10,970.00,973.00,955.05,956.45
27-Aug-10,958.90,960.90,946.55,949.60
30-Aug-10,952.10,964.80,945.00,947.95
31-Aug-10,944.65,949.95,915.00,919.20
01-Sep-10,925.05,943.80,921.00,936.20
02-Sep-10,945.00,946.65,936.00,937.45
03-Sep-10,940.00,941.60,924.20,925.70
06-Sep-10,930.95,957.70,922.30,952.65
07-Sep-10,955.00,969.70,953.00,962.30
08-Sep-10,955.10,964.70,952.00,959.60
09-Sep-10,962.95,967.20,955.20,958.55
13-Sep-10,972.00,995.50,965.35,992.50
14-Sep-10,995.50,1003.00,984.35,988.15
15-Sep-10,989.00,1018.70,989.00,1013.90
16-Sep-10,1012.10,1015.35,997.20,1000.35
17-Sep-10,1005.00,1031.40,1005.00,1027.35
20-Sep-10,1029.00,1043.95,1021.10,1041.40
21-Sep-10,1042.00,1048.50,1025.05,1035.15
22-Sep-10,1034.00,1043.70,1015.00,1020.05
23-Sep-10,1020.05,1024.00,996.00,997.65
24-Sep-10,1000.00,1009.00,992.10,1001.65
27-Sep-10,1008.00,1019.90,1005.10,1010.20
28-Sep-10,1008.30,1012.00,993.00,998.50
29-Sep-10,1000.00,1009.00,995.00,999.00
30-Sep-10,1002.00,1002.00,978.10,987.25
01-Oct-10,992.00,1010.00,990.00,1007.90
04-Oct-10,1014.95,1025.80,1014.95,1017.85
05-Oct-10,1016.00,1031.80,1009.00,1023.85
06-Oct-10,1030.00,1047.00,1026.95,1044.95
07-Oct-10,1044.95,1055.75,1032.50,1039.15
08-Oct-10,1046.70,1054.80,1030.55,1049.65
11-Oct-10,1056.00,1072.25,1053.10,1069.20
12-Oct-10,1068.00,1069.40,1046.15,1055.60
13-Oct-10,1056.10,1074.00,1054.70,1073.05
14-Oct-10,1075.00,1081.50,1054.20,1059.00
15-Oct-10,1060.00,1068.00,1035.60,1040.35
18-Oct-10,1042.25,1064.95,1033.25,1047.45
19-Oct-10,1065.00,1068.70,1039.25,1044.40
20-Oct-10,1039.40,1064.40,1038.00,1049.45
21-Oct-10,1052.00,1087.85,1049.20,1081.65
22-Oct-10,1085.45,1093.80,1074.35,1081.80
25-Oct-10,1088.00,1101.90,1086.00,1090.35
26-Oct-10,1090.90,1100.95,1087.10,1098.85
27-Oct-10,1098.00,1110.00,1083.25,1092.75
28-Oct-10,1099.40,1100.90,1074.60,1082.00
29-Oct-10,1087.70,1107.20,1080.50,1096.25
01-Nov-10,1121.00,1124.90,1089.25,1093.20
02-Nov-10,1095.40,1095.40,1070.30,1074.85
03-Nov-10,1082.00,1084.90,1062.65,1065.30
04-Nov-10,1077.90,1107.00,1075.00,1105.05
05-Nov-10,1114.00,1117.50,1100.30,1105.70
08-Nov-10,1113.90,1119.00,1100.55,1111.85
09-Nov-10,1112.25,1120.50,1097.25,1108.55
10-Nov-10,1106.70,1116.90,1099.20,1102.20
11-Nov-10,1106.00,1111.80,1076.00,1079.90
12-Nov-10,1080.15,1087.40,1057.00,1061.85
15-Nov-10,1067.10,1067.90,1038.20,1054.70
16-Nov-10,1059.00,1059.00,1026.55,1030.50
18-Nov-10,1049.80,1049.80,1014.00,1032.95
19-Nov-10,1036.00,1036.00,987.10,996.25
22-Nov-10,1003.50,1016.45,997.20,1012.25
23-Nov-10,1004.65,1005.00,975.00,995.60
24-Nov-10,999.00,1017.80,986.05,996.05
25-Nov-10,1002.00,1003.00,973.00,979.50
26-Nov-10,985.00,990.40,958.30,962.35
29-Nov-10,969.50,1002.45,962.40,998.40
30-Nov-10,999.80,1008.70,981.10,985.60
01-Dec-10,985.00,997.40,983.05,988.80
02-Dec-10,999.00,1013.45,995.05,1011.15
03-Dec-10,1014.00,1024.00,998.00,1005.90
06-Dec-10,1015.85,1030.00,1013.00,1020.15
07-Dec-10,1020.00,1039.70,1020.00,1030.75
08-Dec-10,1024.90,1027.75,1011.15,1020.55
09-Dec-10,1024.55,1033.85,978.75,984.50
10-Dec-10,986.80,1030.00,979.35,1023.90
13-Dec-10,1024.05,1046.00,1010.00,1041.75
14-Dec-10,1043.00,1060.00,1042.00,1055.25
15-Dec-10,1054.00,1064.00,1036.00,1053.90
16-Dec-10,1057.70,1060.00,1040.05,1056.85
20-Dec-10,1045.00,1068.00,1044.60,1056.75
21-Dec-10,1059.90,1074.90,1058.25,1073.15
22-Dec-10,1072.80,1075.00,1048.35,1056.05
23-Dec-10,1057.80,1064.70,1050.50,1059.40
24-Dec-10,1053.00,1064.50,1050.00,1059.70
27-Dec-10,1058.30,1068.80,1051.15,1055.25
28-Dec-10,1056.30,1059.70,1042.25,1047.90
29-Dec-10,1048.30,1055.00,1046.30,1048.60
30-Dec-10,1052.40,1055.75,1046.25,1051.20
31-Dec-10,1058.05,1066.50,1053.20,1058.70
03-Jan-11,1065.00,1066.50,1052.60,1055.60
04-Jan-11,1060.00,1079.90,1057.30,1077.10
05-Jan-11,1080.00,1090.00,1070.00,1075.80
06-Jan-11,1078.00,1091.40,1074.55,1085.60
07-Jan-11,1081.30,1087.75,1058.00,1065.40
10-Jan-11,1065.40,1070.45,1021.20,1033.45
11-Jan-11,1040.00,1048.70,998.60,1013.75
12-Jan-11,1020.65,1035.65,1003.00,1030.80
13-Jan-11,1030.00,1039.15,1011.10,1015.35
14-Jan-11,1014.05,1029.80,998.00,1001.50
17-Jan-11,1003.00,1008.00,992.05,997.90
18-Jan-11,1004.85,1008.00,990.00,994.85
19-Jan-11,999.60,1005.00,975.00,980.15
20-Jan-11,977.60,977.60,954.55,969.85
21-Jan-11,975.00,992.50,973.00,986.80
24-Jan-11,995.10,995.90,964.10,971.60
25-Jan-11,977.10,984.95,956.25,958.50
27-Jan-11,966.00,967.40,940.00,942.70
28-Jan-11,945.00,945.90,902.00,913.00
31-Jan-11,908.85,928.85,903.10,919.30
01-Feb-11,925.10,927.70,888.55,895.50
02-Feb-11,910.00,927.90,907.30,921.30
03-Feb-11,928.00,947.50,915.00,943.90
04-Feb-11,947.40,947.40,913.15,920.00
07-Feb-11,925.70,938.80,914.40,929.05
08-Feb-11,935.70,935.70,911.25,915.25
09-Feb-11,908.40,937.20,903.65,914.30
10-Feb-11,912.50,920.80,885.10,899.65
11-Feb-11,899.95,915.00,888.05,909.95
14-Feb-11,906.10,918.25,894.10,914.80
15-Feb-11,914.40,944.80,911.30,941.70
16-Feb-11,938.30,950.80,938.10,944.15
17-Feb-11,947.85,955.45,936.25,953.95
18-Feb-11,956.05,963.00,932.00,935.55
21-Feb-11,936.10,960.90,934.20,956.35
22-Feb-11,992.00,1009.40,979.25,984.85
23-Feb-11,986.40,1002.30,985.00,995.65
24-Feb-11,996.00,998.60,958.35,964.20
25-Feb-11,980.70,982.25,954.55,966.25
28-Feb-11,970.20,994.30,960.00,964.25
01-Mar-11,973.70,992.70,967.20,988.85
03-Mar-11,975.20,985.00,968.10,977.40
04-Mar-11,984.65,994.80,978.10,982.20
07-Mar-11,974.10,983.30,964.00,977.05
08-Mar-11,978.00,992.40,978.00,984.95
09-Mar-11,988.70,1004.40,968.10,993.85
10-Mar-11,992.70,993.00,982.00,984.75
11-Mar-11,978.80,994.90,972.15,992.05
14-Mar-11,992.95,1020.75,992.25,1018.35
15-Mar-11,997.95,1049.60,988.90,1037.25
16-Mar-11,1045.00,1055.00,1038.10,1047.10
17-Mar-11,1039.30,1048.80,1028.00,1030.85
18-Mar-11,1035.00,1035.00,986.60,993.00
21-Mar-11,999.05,1000.00,981.10,990.30
22-Mar-11,993.05,1004.90,992.15,999.65
23-Mar-11,999.85,1016.65,995.80,1013.25
24-Mar-11,1015.90,1021.95,1003.85,1010.30
25-Mar-11,1023.90,1029.95,1010.00,1026.60
28-Mar-11,1026.25,1036.35,1014.30,1025.70
29-Mar-11,1020.00,1032.00,1019.60,1022.75
30-Mar-11,1027.50,1037.50,1024.10,1032.50
31-Mar-11,1034.50,1054.90,1034.50,1049.10
01-Apr-11,1049.05,1065.90,1031.00,1036.40
04-Apr-11,1040.00,1054.80,1029.00,1050.65
05-Apr-11,1052.50,1059.00,1040.00,1047.65
06-Apr-11,1045.00,1054.25,1040.00,1044.85
07-Apr-11,1045.05,1047.55,1035.10,1041.90
08-Apr-11,1042.00,1050.90,1020.65,1023.90
11-Apr-11,1013.00,1019.45,1003.65,1005.30
13-Apr-11,1001.85,1024.00,996.60,1021.80
15-Apr-11,1018.65,1024.85,1005.00,1020.95
18-Apr-11,1019.20,1044.70,1000.60,1009.15
19-Apr-11,1004.70,1017.45,998.75,1011.65
20-Apr-11,1016.00,1030.50,1008.20,1025.90
21-Apr-11,1034.80,1044.20,1030.00,1040.60
25-Apr-11,1014.00,1021.00,1005.15,1009.35
26-Apr-11,1009.00,1009.00,997.55,1001.15
27-Apr-11,1005.00,1009.10,980.10,986.10
28-Apr-11,992.00,993.00,970.00,972.40
29-Apr-11,975.00,988.00,971.30,983.75
02-May-11,983.90,986.80,961.30,964.75
03-May-11,965.10,967.40,941.05,943.90
04-May-11,945.00,945.00,945.00,945.00
04-May-11,945.00,956.75,940.00,947.65
05-May-11,945.00,963.55,943.65,949.95
06-May-11,953.00,960.00,949.10,955.05
09-May-11,960.00,966.05,951.40,959.30
10-May-11,959.30,963.90,946.55,950.75
11-May-11,954.00,958.40,943.50,955.45
12-May-11,951.50,954.75,941.00,945.50
13-May-11,945.25,962.00,937.95,948.00
16-May-11,950.00,951.40,941.55,945.00
17-May-11,945.65,946.80,917.25,920.65
18-May-11,920.00,923.85,898.35,901.85
19-May-11,908.40,922.00,904.75,915.50
20-May-11,918.45,925.80,910.30,923.20
23-May-11,919.00,922.00,903.30,909.40
24-May-11,906.00,920.90,906.00,915.75
25-May-11,914.10,914.10,901.00,906.00
26-May-11,912.60,936.85,911.10,933.85
27-May-11,934.10,952.90,934.10,945.45
30-May-11,948.95,953.00,934.25,938.85
31-May-11,945.00,955.90,937.30,951.85
01-Jun-11,952.00,958.65,943.65,946.80
02-Jun-11,936.55,954.70,936.55,951.05
03-Jun-11,960.50,967.00,931.50,934.60
06-Jun-11,934.65,940.80,928.15,937.75
07-Jun-11,933.55,960.00,933.55,958.25
08-Jun-11,955.25,955.95,943.95,949.20
09-Jun-11,947.50,957.85,947.00,954.00
10-Jun-11,955.10,956.00,932.05,944.50
13-Jun-11,943.25,943.25,921.00,925.60
14-Jun-11,925.30,931.75,910.00,911.35
15-Jun-11,912.00,918.90,898.60,900.55
16-Jun-11,901.00,901.00,884.10,887.55
17-Jun-11,891.30,893.30,865.20,868.75
20-Jun-11,875.00,875.00,828.10,833.25
21-Jun-11,839.90,855.00,837.30,848.65
22-Jun-11,853.35,858.15,834.15,845.80
23-Jun-11,846.55,872.70,845.90,870.50
24-Jun-11,874.15,879.70,855.60,871.40
27-Jun-11,866.70,881.80,861.85,871.55
28-Jun-11,878.90,878.90,862.00,871.10
29-Jun-11,875.70,888.00,872.10,885.25
30-Jun-11,888.70,902.00,887.00,898.50
01-Jul-11,907.00,907.00,856.70,861.95
04-Jul-11,874.40,879.40,865.00,868.40
05-Jul-11,869.30,869.30,844.00,845.95
